fiI,msdType,msdSubType,description2,description3,description4,pricingCategory
7741484,GOVTBOND,GOVAGNCY,SER 12 INT PMT ON 9.90% 2018,BD 12/06/2013,,BA.N.USA,N.USD
7746683,EQUITY,PREFERED,REEFERENCE SHARES,DM5,GERMAN LISTING,EQ.E.DEU.Z.EUR
7800205,EQUITY,COMMON,,,,EQ.N.USA,N.USD
